belongs_to_collection,budget,genres,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
,9000000,"[{'id': 35, 'name': 'Comedy'}]",30690,tt0095326,en,Fred P. Chaney receives as inheritance after the death of his mother a speaking horse that also has good knowledge about the stock-market. With the help of this horse Fred gains a lot at the stock-market of Chicago.,1.99161,/5HBBL9KNDcRDEdNjLZKqNyYbSOa.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/26/88,6436211,88,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,When I Talk You're Gonna Laugh Yourself Hoarse!,Hot to Trot,5.1,17
,0,"[{'id': 35, 'name': 'Comedy'}]",29739,tt0095662,en,"Arlo accepts what seems to him to be a dream promotion to Idaho. He soon discovers, however, that moving has its own share of problems.",2.466853,/g8HUN4718bVQ5Npgvc3iwbSHK3F.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/4/88,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One family's experience with the M-word.,Moving,5.6,29
,0,"[{'id': 18, 'name': 'Drama'}]",18197,tt0096018,en,"The Popes are a family who haven't been able to use their real identity for years. In the late sixties, the parents set a weapons lab afire in an effort to hinder the government's Vietnam war campaign. Ever since then, the Popes have been on the run with the authorities never far behind.",4.368078,/fZvB3qcj3r3uxqGgrPfTy8p8EKL.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/7/88,2835116,116,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Running on Empty,7.4,59
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",10001,tt0096486,en,"Albert Einstein is the son of a Tasmanian apple farmer, who discovers the secret of splitting the beer atom to put the bubbles back into beer. When Albert travels to Sydney to patent his invention he meets beatuiful French scientist Marie Curie, as well as several unscrupulous types who try to take advantage of the naive genius and his invention.",2.562888,/5urimrfyzWmpcZErQ0jH4uLHdd.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",12/15/88,0,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,E=mc²,Young Einstein,4.5,46
,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",4925,tt0097166,en,"Los Angeles homicide detective Jerry Beck searches for the murderer who killed a police officer on Christmas Eve. The investigation takes Beck inside the violent world of hate groups and white supremacists, who are hatching a deadly plot to attack even more innocent people. Beck must also confront his own personal demons, including his growing problem with alcohol, if he wants to track down and stop the violent neo-Nazis before it is too late.",1.698895,/r0Y2xGr9mJFhg5e6PRDQyW1Xm33.jpg,"[{'name': 'Lorimar Film Entertainment', 'id': 1176}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/24/89,8125592,105,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,For one cop this isn't just a case. It's a war.,Dead Bang,5.4,16
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",17819,tt0097500,en,"A writer of BAD detective novels is in full writers' block. He pretends to be the alibi of a beautiful woman who was arrested for murder at first thinking her innocent, but as she shows more and more interesting abilities (such as knife throwing) he begins to doubt his first assessment.",3.005651,/k7XJHTjXZrbydSCYY1845gUVyDx.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/3/89,0,94,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ro', 'name': 'Română'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,Her Alibi,5,37
,18,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",32855,tt0097570,en,"Samantha Hughes, a teenaged Kentucky girl, never knew her father, who died in Vietnam before her birth. Samantha lives with her uncle Emmett, who also served in Vietnam. Emmett hangs around with Tom, Earl, and Pete, three other Vietnam vets who, like Emmett, all have problems of one kind or another that relate to their war experiences. Samantha,becomes obsessed with finding out about her father.",6.329111,/gVfYLX0mynpIqK4PDZD05Loy9dC.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]",[],9/15/89,0,120,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,In Country,5.3,13
,0,"[{'id': 18, 'name': 'Drama'}]",14621,tt0097722,en,"When principal Joe Clark takes over decaying Eastside High School, he's faced with students wearing gang colors and graffiti-covered walls. Determined to do anything he must to turn the school around, he expels suspected drug dealers, padlocks doors and demands effort and results from students, staff and parents. Autocratic to a fault, this real-life educator put it all on the lin",3.435402,/oFGnvc58Ashxfbp3HDFhhlSGT0W.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Norman Twain Productions', 'id': 8828}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/3/89,0,108,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Eastside High was out of control...until Joe Clark took it back.,Lean On Me,6.7,76
,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",20006,tt0098097,en,Clint Eastwood plays a bounty hunter who helps out the wife of a bail-jumper after her child is kidnapped by neo-Nazi types.,5.794189,/7XYykCIVegcVprrBUG16D6iYQe9.jpg,"[{'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/26/89,0,122,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Pink Cadillac,5.3,49
,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",9618,tt0098439,en,"Ray Tango and Gabriel Cash are narcotics detectives who, while both being extremely successful, can't stand each other. Crime Lord Yves Perret, furious at the loss of income that Tango and Cash have caused him, frames the two for murder. Caught with the murder weapon on the scene of the crime, the two have no alibi. Thrown into prison with most of the criminals they helped convict, it appears that they are going to have to trust each other if they are to clear their names and catch the evil Perret.",7.507261,/mHDDTtNMyDkjy807KmNsuSJyIQK.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/22/89,63408614,104,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Two of L.A.'s top rival cops are going to have to work together... Even if it kills them.,Tango & Cash,6.1,468
,15000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",11542,tt0080360,en,"A research scientist (William Hurt) explores the boundaries and frontiers of consciousness. Using sensory deprivation and hallucinogenic mixtures from native American shamans, he explores these altered states of consciousness and finds that memory, time, and perhaps reality itself are states of mind.",10.603299,/wJuBAkVbd2xaauodX3Ronqvw06O.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/25/80,19853892,102,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,When he heard his cry for help it wasn't human,Altered States,6.7,169
"{'id': 168182, 'name': 'Philo & Clyde Collection', 'poster_path': '/noLaQo6CZSQ3zoBZcgpzfsLMkVk.jpg', 'backdrop_path': '/fAJgSlQ6SENfdjYiengTnoiXgK7.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",17169,tt0080377,en,"Philo takes part in a bare knuckle fight - as he does - to make some more money than he can earn from his car repair business. He decides to retire from fighting, but when the Mafia come along and arrange another fight, he is pushed into it. A motorcycle gang and an orangutan called Clyde all add to the 'fun'.",6.279562,/tYb7uRvaGta3Y08J1C1Q65WiI4G.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Malpaso Company', 'id': 15298}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/17/80,70687344,115,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Faster, funnier and wilder. It'll knock you out.",Any Which Way You Can,6.1,95
,75000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",12610,tt0181739,en,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",6.405831,/2NvnoaJflAEcT0zlzbS4hlwrDZX.jpg,"[{'name': 'Conundrum Entertainment', 'id': 1156}, {'name': 'Warner Bros. Animation', 'id': 2785}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/7/01,13596911,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Every BODY needs a hero,Osmosis Jones,6,237
,34000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",26602,tt0234829,en,"A coming-of-age romantic comedy set against the backdrop of the Cape Cod Baseball League. Local boy Ryan Dunne (Freddie Prinze Jr.), now a pitcher for Boston College, meets Tenley Parrish (Jessica Biel), the daughter of a wealthy couple who summer on the Cape. Ryan and Tenley fall in love, much to the chagrin of their families, while Ryan clings to one last hope of being discovered and signed to a pro baseball contract.",5.499867,/ik6vcNPcVb93uuMZHYXLnmOHVB5.jpg,"[{'name': 'Tollin/Robbins Productions', 'id': 2184}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/22/01,19693891,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Are you game?,Summer Catch,4.8,63
,57000000,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",12508,tt0202470,en,"Rock Star tells the story of Chris Cole and a rock band called Steel Dragon. Cole is a photocopier technician by day, and the lead singer of a Steel Dragon tribute band called ""Blood Pollution"" by night.Internal struggles between the Steel Dragon band members culminate with the firing of the lead singer, Bobby Beers and the starting of recruitment sessions to find a new vocalist. Loosely inspired by the true story of the heavy metal band Judas Priest.",10.076223,/eMbsUnRfRciBGLclsqmICPOXbir.jpg,"[{'name': 'Bel Air Entertainment', 'id': 788}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Robert Lawrence Productions', 'id': 12245}, {'name': 'Metal Productions Inc.', 'id': 89134}, {'name': 'Maysville Pictures', 'id': 89135}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/4/01,16991902,105,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The story of a wanna be who got to be.,Rock Star,6,194
,45000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2034,tt0139654,en,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",13.664622,/sDT2biSB7wzBJdXq9o3ldr7VfvY.jpg,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Outlaw Productions (I)', 'id': 19507}, {'name': 'WV Films II', 'id': 24939}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10/5/01,104876233,122,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,"The only thing more dangerous than the line being crossed, is the cop who will cross it.",Training Day,7.3,1665
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",22874,tt0051773,en,"Anna Kalman is an accomplished actress who has given up hope of finding the man of her dreams. She is in the middle of taking off her face cream, while talking about this subject with her sister, when in walks Philip Adams. She loses her concentration for a moment as she realizes that this is the charming, smart, and handsome man she has been waiting for.",1.407538,/jg3UUTh6EcLvp2isdgHtsLts3kZ.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Grandon Productions Ltd.', 'id': 12607}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",6/26/58,0,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,How dare he make love to me - And not be a married man!,Indiscreet,6.3,24
,31000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",11313,tt0252501,en,A widowed mother and her son change when a mysterious stranger enters their lives.,6.425321,/fnPm3qVyf37YPJZtBWwzsGCFGyC.jpg,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",9/7/01,24185781,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,What if one of life's great mysteries moved in upstairs?,Hearts in Atlantis,6.5,132
"{'id': 10456, 'name': 'Dirty Harry Collection', 'poster_path': '/bS1ioomHh2emKAZ6vWn17UZnhDx.jpg', 'backdrop_path': '/nlpixhOhb3JmFqVXKjCwpYFpldf.jpg'}",4000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",984,tt0066999,en,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",10.255315,/6AlKDmfVi5cqQFprxJCf1FWihPk.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Malpaso Company', 'id': 15298}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/21/71,35976000,102,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Detective Harry Callahan. He doesn't break murder cases. He smashes them.,Dirty Harry,7.4,630
,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",9378,tt0245674,en,"Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.",8.819223,/s4KZw4vmXfZGbPLBJB7RpWsiUxk.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Dark Castle Entertainment', 'id': 1786}, {'name': 'Warner Bros.', 'id': 6194}, {'name': '13 Ghosts Productions Canada Inc.', 'id': 23503}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10/26/01,0,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"There are ghosts around us all the time. Most of them don't want to hurt us. But, there are exceptions...",Thir13en Ghosts,5.4,447
"{'id': 1241, 'name': 'Harry Potter Collection', 'poster_path': '/8Xmkc1HvCOpMlbFvVabrtr6HAsp.jpg', 'backdrop_path': '/wfnMt6LGqYHcNyOfsuusw5lX3bL.jpg'}",125000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",671,tt0241527,en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",38.187238,/dCtFvscYcXQKTNvyyaQr2g2UacJ.jpg,"[{'name': '1492 Pictures', 'id': 436}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Heyday Films', 'id': 7364}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",11/16/01,976475550,152,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7188
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",32847,tt0035140,en,A woman suffers a nervous breakdown and an oppressive mother before being freed by the love of a man she meets on a cruise.,2.480798,/3iHQUxSaswE04Et6PpcMkWHg8Pr.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/31/42,0,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]",Released,Today Her Greatest! For a woman there's always an excuse…,"Now, Voyager",7.1,30
"{'id': 10456, 'name': 'Dirty Harry Collection', 'poster_path': '/bS1ioomHh2emKAZ6vWn17UZnhDx.jpg', 'backdrop_path': '/nlpixhOhb3JmFqVXKjCwpYFpldf.jpg'}",9000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",10649,tt0074483,en,"Dirty Harry Callahan returns again, this time saddled with a rookie female partner. Together, they must stop a terrorist group consisting of angry Vietnam veterans.",7.550133,/ib3fs2WQsPtpFUgg5JoOWoxUem0.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/20/76,46236000,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The dirtiest Harry of them all.,The Enforcer,6.7,232
,5500000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",17689,tt0076070,en,Phoenix cop Ben Shockley is well on his way to becoming a derelict when he is assigned to transport a witness named Gus Mally from Vegas. Mally turns out to be a belligerent prostitute with mob ties and incriminating information regarding a high-placed figure.,6.389326,/vojzvKay2QT2eGwvfGBkFfJQlcj.jpg,"[{'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/21/77,26414658,109,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Clint Eastwood is the man in the middle of The Gauntlet,The Gauntlet,6.6,121
,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",299,tt0054135,en,Ocean's Eleven is the 'Rat-Pack' comedy about robber Danny Ocean and his gang's attempt to rob the five biggest casinos in Las Vegas.,7.29506,/lSPXGEp4EpFOPIUg9FKIKF72m50.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Dorchester', 'id': 67993}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/17/60,0,127,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,In any other town they'd be the bad guys...,Ocean's Eleven,6.6,79
"{'id': 10456, 'name': 'Dirty Harry Collection', 'poster_path': '/bS1ioomHh2emKAZ6vWn17UZnhDx.jpg', 'backdrop_path': '/nlpixhOhb3JmFqVXKjCwpYFpldf.jpg'}",22000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",10650,tt0086383,en,"When a young rape victim takes justice into her own hands and becomes a serial killer, it's up to Dirty Harry Callahan, on suspension from the SFPD, to bring her to justice.",9.737907,/AvTrLgO2wQViMeu5I0toQlBVOI7.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/7/83,67642693,117,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Dirty Harry is at it again,Sudden Impact,6.5,210
"{'id': 304, 'name': ""Ocean's Collection"", 'poster_path': '/rMWeMGBftk6IxNW5mJVH8ZXAvuq.jpg', 'backdrop_path': '/vxmFb03PyjycekffLqXqFibbCzx.jpg'}",85000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",161,tt0240772,en,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",12.114932,/o0h76DVXvk5OKjmNez5YY0GODC2.jpg,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Section Eight', 'id': 129}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Jerry Weintraub Productions', 'id': 2596}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'WV Films II', 'id': 24939}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/7/01,450717150,116,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Are you in or out?,Ocean's Eleven,7.2,3857
,11000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",10229,tt0281358,en,"When the popular, restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list for her life and also a very big secret she must keep from Landon.",8.054499,/kso0otMalKy9qSEdrzYP7Bc3Rjg.jpg,"[{'name': 'DiNovi Pictures', 'id': 813}, {'name': 'Pandora Pictures', 'id': 5329}, {'name': 'Gaylord Films', 'id': 5367}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/25/02,41227069,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,She didn't belong. She was misunderstood. And she would change him forever.,A Walk to Remember,7.5,1057
,85000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",9884,tt0233469,en,Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.,10.175503,/o5TScwlDu3uPzbqZ5IYwlUtMP4O.jpg,"[{'name': 'David Foster Productions', 'id': 496}, {'name': 'Bel Air Entertainment', 'id': 788}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Hacienda Productions', 'id': 43717}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/6/02,78382433,108,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,What would you do if you lost everything?,Collateral Damage,5.5,431
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",41357,tt0067803,en,"Silent as a painting, the movie shows us day-dreamer Hermie and his friends Oscy and Benjie spending the summer of '42 on an US island with their parents - rather unaffected by WWII. While Oscy's main worries are the when and how of getting laid, Hermie honestly falls in love with the older Dorothy, who's married to an army pilot. When her husband returns to the front, Hermie shyly approaches her. Written by Bob Dawson",2.955581,/cJYezdxCKG2WuVJjKfnGPdVKtB0.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/9/71,0,103,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"In everyone's life there's a ""Summer of '42""",Summer of '42,6.5,31
"{'id': 217704, 'name': 'The Vampire Chronicles', 'poster_path': '/1Iop0dywqQeD5Mm7oRVR8vZ8gkj.jpg', 'backdrop_path': '/5margBoJC97ZrciVpAUc0PiY6Rc.jpg'}",35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",11979,tt0238546,en,"Lestat de Lioncourt is awakened from his slumber. Bored with his existence he has now become this generations new Rock God. While in the course of time, another has arisen, Akasha, the Queen of the Vampires and the Dammed. He want's immortal fame, his fellow vampires want him eternally dead for his betrayal, and the Queen want's him for her King. Who will be the first to reach him? Who shall win?",8.436243,/jSNMRMPkXUqcqWm0xUPUviRfWfF.jpg,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'WV Films LLC', 'id': 67988}, {'name': 'Material', 'id': 67989}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2/10/02,45479110,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,This time there are no interviews.,Queen of the Damned,5.5,247
,23000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",35614,tt0108395,en,"A friendly troll with a magic green thumb grows one flower too many for the queen, whose laws require all trolls to be mean ugly and scare humans whenever possible. As a punishment, he is exiled to a world of concrete, where he should live a life of proper trolldom: Manhattan.",3.612089,/4bx2egBIgvpocZj7Wq2z7CAMcs4.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Don Bluth', 'id': 37167}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/7/94,71368,76,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Believe in Yourself and You Can Do Anything!,A Troll in Central Park,4.4,40
,80000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",2135,tt0268695,en,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",8.918134,/elWjfgdsKQbk5E02npdy5Q0Ziee.jpg,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/4/02,123729176,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The greatest adventure THROUGH all time!,The Time Machine,5.8,644
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",22288,tt0080888,en,"Buck Bonham (Willie Nelson) is a country singer, with a good family, struggling to find national fame. He juggles his music career with his responsibilities to his wife and son. He has everything going his way until the daughter of his former guitarist joins his tour. The road leads to temptation, which leads to his downfall. The only question is will his family and friends stand by him?",0.89977,/koiihLdm74U4ZM1t1r1xa0ArxFH.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/18/80,0,119,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,For 20 years he's been singing to the country. But he never figured he'd be living his own love songs.,Honeysuckle Rose,6.2,3
